Shorts Title,Upload Date,Upload Day,Duration,Views,Likes,Comments,Hashtags,Watch Time,Views Like Ratio,Views Comment Ratio,Watch Time per Views,Likes Comment Ratio,Audience Engagement Rate,Newest 5 Comment
Lesun Ka Achar,01/01/2025,Wednesday,00:56,105653,6500,43,#acharrecipe,1643.5,16.25430769,2457.046512,0.01555564,151.1627907,6.19%,"""Its delicious mene try kiya hai"",""Mujhe bahot pasand he lehsun ka aachar"",""Looking delicious"",""Super"",""Very tasty"""
Pasta,02/01/2025,Thursday,00:54,276173,19000,26,#pasta,4142.6,14.53542105,10622.03846,0.015000018,730.7692308,6.89%,"""This recipe I love"",""So yummy"",""Sir…you should try green onion pasta its very tasty"",""Bhai dekh k bhook lag gy or raat ke 2 bj rhe hai"",""Very tasty"",""Missing onion"""
Matar ki Kachori,03/01/2025,Friday,01:27,365772,19000,36,#kachori,8839.5,19.25115789,10160.33333,0.024166694,527.7777778,5.20%,"""Waah gajab"",""Mouthwatering recipe"",""Yummy tasty"",""Outstanding"",""Super tasty"""
Winter Vaala Soup,04/01/2025,Saturday,00:58,159202,10000,120,#soup,2564.9,15.9202,1326.683333,0.016110979,83.33333333,6.36%,"""Delhi me 6 degrees"",""5 degree Lucknow"",""Tasty"",""Boiled pasta dalna hai fir….ya fir isme dal k boil krna hai"",""4-5 Delhi"""
Methi ki Puri,05/01/2025,Sunday,01:22,224954,10000,39,#poori,5123.9,22.4954,5768.051282,0.022777546,256.4102564,4.46%,"""So tasty I will try full watch it sanaz from Pakistan"",""Yummy"",""Super tasty"",""Nyc"",""Looking delicious"""
Party Snack,06/01/2025,Monday,00:59,28602095,1200000,2151,#snack,468756.6,23.83507917,13297.1153,0.01638889,557.8800558,4.20%,"""Started craving after watching it…"",""Wah kya baat hai muh mai pani aa gya dekh ke"",""His wife is the luckiest"",""Masha Allah Looking good"",""2 min me kuch nhi banta hai yummy tasty"""
Matar Chura,07/01/2025,Tuesday,00:55,1202297,44000,233,#snack,18368.4,27.32493182,5160.072961,0.015277756,188.8412017,3.67%,"""In Bihar it is made on every second day and we enjoy it with chai"",""Ye bihar ka famous winter snack h with tea"",""Iske bina bihar ki sham adhuri hoti hai"",""Nice recipe thankyou"",""Maine kiya h try ek dm testy"""
Tadke vala Palak Paneer,08/01/2025,Wednesday,01:27,325165,18000,37,#palakpaneer,7858.2,18.06472222,8788.243243,0.024166808,486.4864865,5.54%,"""Bahot ache se samjhate h bhaiya ji"",""Maine banai thi aapki recipe bahot tasty bani thi"",""Your recipes are really great"",""Your recipes and voice are legit"",""Nice recipe"""
Veg Kebab Roll ,09/01/2025,Thursday,01:23,1276958,56000,94,#snack,29440.9,22.80282143,13584.65957,0.023055496,595.7446809,4.39%,"""No meda gehun good good for health sir"",""Waoooo….Lakhnawi dish…kabab parathe"",""Really wow"",""Nice mujhe bahot pasand aaya h"",""Gazab"""
Mixed Fruit Juice,10/01/2025,Friday,01:22,178460,10000,62,#fruitjuice,4064.9,17.846,2878.387097,0.022777653,161.2903226,5.63%,"""Aap itne easily tarike se recipe batate ho ki maine aap ki batai recipe banai"",""Aap itne pyaar dish batae h bhot accha lagta h Sar ji"",""Super tasty juice"",""Tempting juice"",""Blender bahothi badhiya hai description box me kahase kharida isaki jankari hoti to aur achha hota. Receipy"""
Mushroom Biryani,11/01/2025,Saturday,01:29,704163,46000,398,#vegbiryani,17408.5,15.3078913,1769.253769,0.024722259,115.5778894,6.59%,"""Nice pulav recipe"",""Delicious Pulaav ..gonna try it"",""Accha pulav banaya hai mast"",""I'm a vegetarian and i agreed the fact ki veg biryani naam ki koi cheez nahi hoti to nahi hoti, vo pulao ya veg pulao hoti hai"",""Superb chef.... I will try definitely"""
Sandwich,12/01/2025,Sunday,00:59,30984191,781000,1252,#sandwich,507796.5,39.67245967,24747.75639,0.01638889,623.8019169,2.52%,"""Cooking Cutting skills"",""Lovely and voice clear…overall awesome"",""Aap vegetable ko itni barik & fast kaise cut karte ho very nice"",""I suggest you can use hung curd.That will prevent the sandwich from becoming soggy"",""Very nice recipe"""
Sabji,13/01/2025,Monday,00:51,645959,27000,101,#sabji,9151.1,23.92440741,6395.633663,0.014166689,267.3267327,4.19%,"""Looks yummy"",""Looks yummy"",""Sir muh me pani aa gya"",""Meri bhi favourite hai thanks bhaiya"",""My all time favourite"""
Chatpate Aloo,14/01/2025,Tuesday,01:04,123915,10000,28,#aloo,2202.9,12.3915,4425.535714,0.017777509,357.1428571,8.09%,"""Easy recipe thankyou"",""Very nice recipe sir"",""Nice sir so testy"",""Yummy"",""very testy sir"""
Lasooni Methi,15/01/2025,Wednesday,01:26,261624,12000,57,#methi,6249.9,21.802,4589.894737,0.023888863,210.5263158,4.61%,"""Bahot acha laga"",""Try maithi malai matar"",""Zabardast"",""Good"",""Super recipe"""
Mooli Ka Paratha,16/01/2025,Thursday,01:14,337383,18000,63,#parathalover,6935.1,18.7435,5355.285714,0.02055557,285.7142857,5.35%,"""Mooli ke paraathe bachpan se khaate aa rahe he.So very tasty."",""very testy bhaiya raam ji apko hmesa khus rakhe taki aap aise gi achhi achhi video banate rhe"",""મસ્ત છે!"",""बहुत ही बढीया !"",""looking delicious"""
Burnt Garlic Rice,17/01/2025,Friday,00:56,7459343,227000,392,#friedrice,116034.2,32.86054185,19028.93622,0.015555552,579.0816327,3.05%,"""Looking so tempting"",""I made this…I also added paneer for added protein turns out to be great…thanks chef"",""Looking delicious"",""Really nice"",""I tried this recipe super easy and delicious"""
Tomato Maggi,19/01/2025,Sunday,02:09,2789080,168000,304,#maggi,99942,16.60166667,9174.605263,0.035833321,552.6315789,6.03%,"""I live plain maggi without any experiment"",""Looking so tempting"",""Best maggie ever I tried literally"",""Waah yaar I am try in"",""Superb"""
Korean Cucumber Salad,20/01/2025,Monday,00:28,150879,6200,43,#salad,1173.5,24.33532258,3508.813953,0.007777756,144.1860465,4.14%,"""Looking so yummy"",""It's yummy chef thank you for share this love & respect your work alot from Pakistan"",""Chef ingredients v mention kariye plz..."",""Yummy yummy"",""I make it"""
Masala Burger,21/01/2025,Tuesday,01:14,1187556,85000,138,#burger,24410.9,13.97124706,8605.478261,0.020555578,615.942029,7.16%,"""Muh me pani aagya"",""Nice Idea, instead of Paneer Aloo bhi use kar sakte hai ?"",""Bohat TASTY"",""Masala pav Desi taste"",""Kind of pannir masala pan"""
